FID,STRASSENNA,Shape_Leng,d_RADWEGAR,START_X,START_Y,END_X,END_Y
10224,Geiselgasteigstraße,184.996756,Getrennter Rad- und Gehweg,689915.0604,5327946.702,689862.9583,5327769.308
10225,Drygalski-Allee,10.0163694,Übergang,686373.6318,5329039.199,686373.525,5329029.183
10226,Drygalski-Allee,12.48244442,Übergang,686419.6994,5328701.948,686421.0975,5328689.544
10227,Drygalski-Allee,9.684219564,Getrennter Rad- und Gehweg,686406.0152,5329051.949,686403.0797,5329042.824
10228,Drygalski-Allee,9.465438503,Übergang,686409.5041,5328848.538,686409.9222,5328839.082
10229,Drygalski-Allee,124.4210426,Getrennter Rad- und Gehweg,686409.9222,5328839.082,686417.5047,5328714.909
10230,Drygalski-Allee,13.14550224,Übergang,686417.5047,5328714.909,686419.6994,5328701.948
10231,Drygalski-Allee,11.74376989,Übergang,686476.7407,5328448.581,686477.6346,5328436.871
10232,Kistlerhofstraße,281.384313,Getrennter Rad- und Gehweg,688171.0227,5329975.133,687891.1863,5329951.11
10233,Naupliastraße,14.13537832,Übergang,691290.9005,5329819.033,691279.288,5329810.974
10234,Siemensallee,153.3394931,Radweg,688903.4561,5329442.852,688754.4508,5329477.731
10235,Geiselgasteigstraße,209.6522341,Getrennter Rad- und Gehweg,690372.95,5329455.531,690304.2945,5329257.46
10236,Siemensallee,94.66871745,Radweg,688745.8598,5329479.475,688651.3579,5329482.133
10237,Siemensallee,4.409379846,Übergang,688754.4508,5329477.731,688750.1167,5329478.543
10238,Siemensallee,156.1315656,Getrennter Rad- und Gehweg,688525.1439,5329478.203,688369.1138,5329472.591
10239,Fertigstraße,176.9947907,Getrennter Rad- und Gehweg,686792.7149,5329202.906,686702.1283,5329051.519
10240,Siemensallee,436.1774766,Radweg,688331.033,5329471.427,687895.8731,5329445.493
10241,Paul-Ehrlich-Weg,6.527622235,Übergang,682225.0389,5340730.129,682218.9868,5340727.683
10242,Franz-Nißl-Straße,54.08399451,Getrennter Rad- und Gehweg,683032.4286,5340562.309,683019.4557,5340614.814
10243,Würmseestraße,149.4786534,Getrennter Rad- und Gehweg,686354.5263,5329988.976,686354.795,5329840.575
10244,Neurieder Straße,27.03799183,Getrennter Rad- und Gehweg,685265.366,5328895.489,685239.6565,5328903.859
10245, ,40.72883369,Gemeinsamer Geh- und Radweg,695379.3542,5331383.245,695376.8007,5331342.681
10246,Sonnenblumenstraße,135.6244038,Getrennter Rad- und Gehweg,685158.0774,5331173.785,685145.5473,5331039.001
10247,Berghamer Straße,127.1391898,Gemeinsamer Geh- und Radweg,696099.0931,5329412.177,696085.2607,5329285.89
10248,Berghamer Straße,226.8896767,Gemeinsamer Geh- und Radweg,696083.5796,5329247.104,696085.5054,5329020.966
10249,Lochhausener Straße,39.19620891,Gemeinsamer Geh- und Radweg,678996.7257,5338792.08,679029.2404,5338770.191
10250,Maximilian-Kolbe-Allee,112.42389,Gemeinsamer Geh- und Radweg,696542.4878,5329418.645,696641.8493,5329471.242
10251,Krehlebogen,65.37560432,Gemeinsamer Geh- und Radweg,696074.7809,5331382.049,696077.985,5331316.785
10252,Johann-Clanze-Straße,88.50464902,Getrennter Rad- und Gehweg,687610.9452,5331894.073,687523.728,5331906
10253,Wolfratshauser Straße,6.732679481,Übergang,688319.2234,5328397.314,688316.4872,5328391.162
10254,Boschetsrieder Straße,17.5558773,Übergang,686698.3284,5330261.471,686682.455,5330268.971
10255,Wolfratshauser Straße,31.19379036,Getrennter Rad- und Gehweg,688300.7841,5328283.426,688289.3498,5328254.443
10256,Einhornallee,8.99621473,Übergang,686943.5369,5331327.49,686936.3588,5331322.067
10257,Weltistraße,30.19923614,Getrennter Rad- und Gehweg,686811.6991,5328472.808,686832.6563,5328451.075
10258,Forstenrieder Allee,110.9954027,Getrennter Rad- und Gehweg,685740.5463,5328452.586,685693.4237,5328352.529
