datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2026.03.01,00:00,23:59,Arnulf,587,47,634,4.8,9.9,0.2,96,0.3
2026.03.02,00:00,23:59,Arnulf,1198,105,1303,2.1,12.7,0.0,61,8.2
2026.03.03,00:00,23:59,Arnulf,1291,97,1388,0.9,9.0,0.0,81,4.0
2026.03.04,00:00,23:59,Arnulf,1209,85,1294,2.5,9.2,0.0,55,5.0
2026.03.05,00:00,23:59,Arnulf,1339,113,1452,2.1,13.9,0.0,38,8.7
2026.03.06,00:00,23:59,Arnulf,1255,77,1332,0.9,16.3,0.0,16,10.2
2026.03.07,00:00,23:59,Arnulf,1010,47,1057,0.6,16.2,0.0,1,10.6
2026.03.08,00:00,23:59,Arnulf,786,49,835,1.0,15.0,0.0,79,9.3
2026.03.09,00:00,23:59,Arnulf,1331,86,1417,3.5,15.5,0.0,98,3.3
2026.03.10,00:00,23:59,Arnulf,1525,93,1618,6.0,17.7,0.0,50,10.3
2026.03.11,00:00,23:59,Arnulf,1215,88,1303,8.4,15.9,6.2,94,7.2
2026.03.12,00:00,23:59,Arnulf,898,75,973,4.9,12.1,2.2,59,4.3
2026.03.13,00:00,23:59,Arnulf,1265,73,1338,1.3,17.1,0.0,41,10.8
2026.03.14,00:00,23:59,Arnulf,541,30,571,3.1,11.8,1.1,99,4.0
2026.03.15,00:00,23:59,Arnulf,466,52,518,2.8,7.4,0.0,99,0.4
2026.03.16,00:00,23:59,Arnulf,850,75,925,1.1,8.8,5.9,79,3.1
2026.03.17,00:00,23:59,Arnulf,873,79,952,0.3,6.1,0.1,76,0.5
2026.03.18,00:00,23:59,Arnulf,1656,89,1745,-1.3,10.8,0.0,25,6.5
2026.03.19,00:00,23:59,Arnulf,1948,93,2041,1.1,13.4,0.0,39,8.9
2026.03.20,00:00,23:59,Arnulf,1130,103,1233,-0.7,13.1,0.0,35,10.8
2026.03.21,00:00,23:59,Arnulf,702,65,767,1.5,11.2,0.0,70,2.2
2026.03.22,00:00,23:59,Arnulf,761,70,831,0.5,14.1,0.0,9,11.6
2026.03.23,00:00,23:59,Arnulf,1131,84,1215,1.5,12.9,0.0,74,5.6
2026.03.24,00:00,23:59,Arnulf,1312,83,1395,3.8,14.8,0.0,86,10.1
2026.03.25,00:00,23:59,Arnulf,879,68,947,1.9,14.8,2.5,98,4.3
2026.03.26,00:00,23:59,Arnulf,753,64,817,-0.2,4.9,2.4,96,1.5
2026.03.27,00:00,23:59,Arnulf,829,52,881,-0.7,6.4,0.0,76,2.4
2026.03.28,00:00,23:59,Arnulf,636,45,681,-1.7,8.8,4.1,61,11.5
2026.03.29,00:00,23:59,Arnulf,269,20,289,0.6,5.0,1.5,98,0.1
2026.03.30,00:00,23:59,Arnulf,582,56,638,0.5,7.2,5.9,94,2.8
2026.03.31,00:00,23:59,Arnulf,697,57,754,1.0,5.7,0.0,100,1.1
2026.03.01,00:00,23:59,Kreuther,141,165,306,4.8,9.9,0.2,96,0.3
2026.03.02,00:00,23:59,Kreuther,400,306,706,2.1,12.7,0.0,61,8.2
2026.03.03,00:00,23:59,Kreuther,436,337,773,0.9,9.0,0.0,81,4.0
2026.03.04,00:00,23:59,Kreuther,386,284,670,2.5,9.2,0.0,55,5.0
2026.03.05,00:00,23:59,Kreuther,454,343,797,2.1,13.9,0.0,38,8.7
2026.03.06,00:00,23:59,Kreuther,392,337,729,0.9,16.3,0.0,16,10.2
2026.03.07,00:00,23:59,Kreuther,297,314,611,0.6,16.2,0.0,1,10.6
2026.03.08,00:00,23:59,Kreuther,284,325,609,1.0,15.0,0.0,79,9.3
2026.03.09,00:00,23:59,Kreuther,407,355,762,3.5,15.5,0.0,98,3.3
2026.03.10,00:00,23:59,Kreuther,529,424,953,6.0,17.7,0.0,50,10.3
2026.03.11,00:00,23:59,Kreuther,441,317,758,8.4,15.9,6.2,94,7.2
2026.03.12,00:00,23:59,Kreuther,262,213,475,4.9,12.1,2.2,59,4.3
2026.03.13,00:00,23:59,Kreuther,432,389,821,1.3,17.1,0.0,41,10.8
2026.03.14,00:00,23:59,Kreuther,215,177,392,3.1,11.8,1.1,99,4.0
2026.03.15,00:00,23:59,Kreuther,142,136,278,2.8,7.4,0.0,99,0.4
2026.03.16,00:00,23:59,Kreuther,354,256,610,1.1,8.8,5.9,79,3.1
2026.03.17,00:00,23:59,Kreuther,331,270,601,0.3,6.1,0.1,76,0.5
2026.03.18,00:00,23:59,Kreuther,522,431,953,-1.3,10.8,0.0,25,6.5
2026.03.19,00:00,23:59,Kreuther,617,491,1108,1.1,13.4,0.0,39,8.9
2026.03.20,00:00,23:59,Kreuther,433,347,780,-0.7,13.1,0.0,35,10.8
2026.03.21,00:00,23:59,Kreuther,187,197,384,1.5,11.2,0.0,70,2.2
2026.03.22,00:00,23:59,Kreuther,279,286,565,0.5,14.1,0.0,9,11.6
2026.03.23,00:00,23:59,Kreuther,433,350,783,1.5,12.9,0.0,74,5.6
2026.03.24,00:00,23:59,Kreuther,484,403,887,3.8,14.8,0.0,86,10.1
2026.03.25,00:00,23:59,Kreuther,341,255,596,1.9,14.8,2.5,98,4.3
2026.03.26,00:00,23:59,Kreuther,219,176,395,-0.2,4.9,2.4,96,1.5
2026.03.27,00:00,23:59,Kreuther,277,217,494,-0.7,6.4,0.0,76,2.4
2026.03.28,00:00,23:59,Kreuther,226,201,427,-1.7,8.8,4.1,61,11.5
2026.03.29,00:00,23:59,Kreuther,51,48,99,0.6,5.0,1.5,98,0.1
2026.03.30,00:00,23:59,Kreuther,186,127,313,0.5,7.2,5.9,94,2.8
2026.03.31,00:00,23:59,Kreuther,181,171,352,1.0,5.7,0.0,100,1.1
2026.03.01,00:00,23:59,Olympia,705,697,1402,4.8,9.9,0.2,96,0.3
2026.03.02,00:00,23:59,Olympia,1099,1172,2271,2.1,12.7,0.0,61,8.2
2026.03.03,00:00,23:59,Olympia,1098,1153,2251,0.9,9.0,0.0,81,4.0
2026.03.04,00:00,23:59,Olympia,1308,1292,2600,2.5,9.2,0.0,55,5.0
2026.03.05,00:00,23:59,Olympia,1220,1219,2439,2.1,13.9,0.0,38,8.7
2026.03.06,00:00,23:59,Olympia,1474,1453,2927,0.9,16.3,0.0,16,10.2
2026.03.07,00:00,23:59,Olympia,1298,1221,2519,0.6,16.2,0.0,1,10.6
2026.03.08,00:00,23:59,Olympia,1150,1087,2237,1.0,15.0,0.0,79,9.3
2026.03.09,00:00,23:59,Olympia,1187,1185,2372,3.5,15.5,0.0,98,3.3
2026.03.10,00:00,23:59,Olympia,1481,1575,3056,6.0,17.7,0.0,50,10.3
2026.03.11,00:00,23:59,Olympia,1254,1257,2511,8.4,15.9,6.2,94,7.2
2026.03.12,00:00,23:59,Olympia,933,918,1851,4.9,12.1,2.2,59,4.3
2026.03.13,00:00,23:59,Olympia,1460,1481,2941,1.3,17.1,0.0,41,10.8
2026.03.14,00:00,23:59,Olympia,713,648,1361,3.1,11.8,1.1,99,4.0
2026.03.15,00:00,23:59,Olympia,652,688,1340,2.8,7.4,0.0,99,0.4
2026.03.16,00:00,23:59,Olympia,878,883,1761,1.1,8.8,5.9,79,3.1
2026.03.17,00:00,23:59,Olympia,867,898,1765,0.3,6.1,0.1,76,0.5
2026.03.18,00:00,23:59,Olympia,1533,1628,3161,-1.3,10.8,0.0,25,6.5
2026.03.19,00:00,23:59,Olympia,1862,1934,3796,1.1,13.4,0.0,39,8.9
