datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2026.02.01,00:00,23:59,Arnulf,366,42,408,-0.5,5.6,0.0,81,3.3
2026.02.02,00:00,23:59,Arnulf,1551,76,1627,-3.0,2.9,0.0,70,5.3
2026.02.03,00:00,23:59,Arnulf,1007,101,1108,-3.0,6.1,0.1,71,5.2
2026.02.04,00:00,23:59,Arnulf,985,80,1065,-1.7,1.6,0.0,85,0.1
2026.02.05,00:00,23:59,Arnulf,953,96,1049,-0.9,2.3,0.0,64,6.3
2026.02.06,00:00,23:59,Arnulf,807,81,888,-0.8,8.1,0.1,99,0.9
2026.02.07,00:00,23:59,Arnulf,580,52,632,5.3,9.4,0.0,99,1.2
2026.02.08,00:00,23:59,Arnulf,513,47,560,1.0,8.3,0.0,64,3.8
2026.02.09,00:00,23:59,Arnulf,953,70,1023,0.3,4.3,0.0,98,0.0
2026.02.10,00:00,23:59,Arnulf,1070,89,1159,-1.1,7.8,5.3,94,4.1
2026.02.11,00:00,23:59,Arnulf,1580,90,1670,3.0,11.1,1.2,91,2.7
2026.02.12,00:00,23:59,Arnulf,902,69,971,4.6,10.8,6.9,95,2.0
2026.02.13,00:00,23:59,Arnulf,941,84,1025,4.6,10.1,0.0,96,2.6
2026.02.14,00:00,23:59,Arnulf,362,25,387,-0.3,7.0,7.0,96,0.1
2026.02.15,00:00,23:59,Arnulf,267,26,293,-1.5,0.5,5.4,94,0.1
2026.02.16,00:00,23:59,Arnulf,539,52,591,-1.3,8.7,3.3,90,3.2
2026.02.17,00:00,23:59,Arnulf,623,53,676,0.2,6.6,3.5,90,1.7
2026.02.18,00:00,23:59,Arnulf,511,57,568,-1.1,3.6,0.7,73,4.7
2026.02.19,00:00,23:59,Arnulf,493,35,528,-0.3,1.3,20.9,84,0.2
2026.02.20,00:00,23:59,Arnulf,282,27,309,-0.5,3.5,1.4,95,0.1
2026.02.21,00:00,23:59,Arnulf,258,13,271,2.8,7.1,8.4,94,0.0
2026.02.22,00:00,23:59,Arnulf,327,29,356,6.0,11.9,5.1,98,0.5
2026.02.23,00:00,23:59,Arnulf,841,95,936,7.3,11.7,12.0,98,0.9
2026.02.24,00:00,23:59,Arnulf,538,60,598,6.0,8.3,11.3,95,0.0
2026.02.25,00:00,23:59,Arnulf,1230,76,1306,2.4,13.2,0.0,41,10.4
2026.02.26,00:00,23:59,Arnulf,1342,82,1424,2.7,17.7,0.0,71,10.3
2026.02.27,00:00,23:59,Arnulf,2021,96,2117,3.7,19.0,0.0,8,10.6
2026.02.28,00:00,23:59,Arnulf,1581,74,1655,2.1,16.0,0.5,50,9.3
2026.02.01,00:00,23:59,Kreuther,62,62,124,-0.5,5.6,0.0,81,3.3
2026.02.02,00:00,23:59,Kreuther,339,257,596,-3.0,2.9,0.0,70,5.3
2026.02.03,00:00,23:59,Kreuther,290,221,511,-3.0,6.1,0.1,71,5.2
2026.02.04,00:00,23:59,Kreuther,249,205,454,-1.7,1.6,0.0,85,0.1
2026.02.05,00:00,23:59,Kreuther,286,202,488,-0.9,2.3,0.0,64,6.3
2026.02.06,00:00,23:59,Kreuther,204,178,382,-0.8,8.1,0.1,99,0.9
2026.02.07,00:00,23:59,Kreuther,113,119,232,5.3,9.4,0.0,99,1.2
2026.02.08,00:00,23:59,Kreuther,111,121,232,1.0,8.3,0.0,64,3.8
2026.02.09,00:00,23:59,Kreuther,264,217,481,0.3,4.3,0.0,98,0.0
2026.02.10,00:00,23:59,Kreuther,319,214,533,-1.1,7.8,5.3,94,4.1
2026.02.11,00:00,23:59,Kreuther,398,284,682,3.0,11.1,1.2,91,2.7
2026.02.12,00:00,23:59,Kreuther,256,196,452,4.6,10.8,6.9,95,2.0
2026.02.13,00:00,23:59,Kreuther,264,210,474,4.6,10.1,0.0,96,2.6
2026.02.14,00:00,23:59,Kreuther,83,78,161,-0.3,7.0,7.0,96,0.1
2026.02.15,00:00,23:59,Kreuther,31,35,66,-1.5,0.5,5.4,94,0.1
2026.02.16,00:00,23:59,Kreuther,148,115,263,-1.3,8.7,3.3,90,3.2
2026.02.17,00:00,23:59,Kreuther,149,131,280,0.2,6.6,3.5,90,1.7
2026.02.18,00:00,23:59,Kreuther,150,121,271,-1.1,3.6,0.7,73,4.7
2026.02.19,00:00,23:59,Kreuther,113,78,191,-0.3,1.3,20.9,84,0.2
2026.02.20,00:00,23:59,Kreuther,25,24,49,-0.5,3.5,1.4,95,0.1
2026.02.21,00:00,23:59,Kreuther,46,38,84,2.8,7.1,8.4,94,0.0
2026.02.22,00:00,23:59,Kreuther,63,60,123,6.0,11.9,5.1,98,0.5
2026.02.23,00:00,23:59,Kreuther,261,201,462,7.3,11.7,12.0,98,0.9
2026.02.24,00:00,23:59,Kreuther,165,129,294,6.0,8.3,11.3,95,0.0
2026.02.25,00:00,23:59,Kreuther,348,268,616,2.4,13.2,0.0,41,10.4
2026.02.26,00:00,23:59,Kreuther,411,310,721,2.7,17.7,0.0,71,10.3
2026.02.27,00:00,23:59,Kreuther,547,445,992,3.7,19.0,0.0,8,10.6
2026.02.28,00:00,23:59,Kreuther,389,374,763,2.1,16.0,0.5,50,9.3
2026.02.01,00:00,23:59,Olympia,457,369,826,-0.5,5.6,0.0,81,3.3
2026.02.02,00:00,23:59,Olympia,1318,1298,2616,-3.0,2.9,0.0,70,5.3
2026.02.03,00:00,23:59,Olympia,959,894,1853,-3.0,6.1,0.1,71,5.2
2026.02.04,00:00,23:59,Olympia,822,798,1620,-1.7,1.6,0.0,85,0.1
2026.02.05,00:00,23:59,Olympia,931,803,1734,-0.9,2.3,0.0,64,6.3
2026.02.06,00:00,23:59,Olympia,748,726,1474,-0.8,8.1,0.1,99,0.9
2026.02.07,00:00,23:59,Olympia,535,564,1099,5.3,9.4,0.0,99,1.2
2026.02.08,00:00,23:59,Olympia,552,501,1053,1.0,8.3,0.0,64,3.8
2026.02.09,00:00,23:59,Olympia,815,799,1614,0.3,4.3,0.0,98,0.0
2026.02.10,00:00,23:59,Olympia,924,887,1811,-1.1,7.8,5.3,94,4.1
2026.02.11,00:00,23:59,Olympia,1222,1259,2481,3.0,11.1,1.2,91,2.7
2026.02.12,00:00,23:59,Olympia,774,747,1521,4.6,10.8,6.9,95,2.0
2026.02.13,00:00,23:59,Olympia,804,787,1591,4.6,10.1,0.0,96,2.6
2026.02.14,00:00,23:59,Olympia,471,440,911,-0.3,7.0,7.0,96,0.1
2026.02.15,00:00,23:59,Olympia,327,325,652,-1.5,0.5,5.4,94,0.1
2026.02.16,00:00,23:59,Olympia,461,427,888,-1.3,8.7,3.3,90,3.2
2026.02.17,00:00,23:59,Olympia,612,573,1185,0.2,6.6,3.5,90,1.7
2026.02.18,00:00,23:59,Olympia,507,512,1019,-1.1,3.6,0.7,73,4.7
2026.02.19,00:00,23:59,Olympia,403,360,763,-0.3,1.3,20.9,84,0.2
2026.02.20,00:00,23:59,Olympia,234,233,467,-0.5,3.5,1.4,95,0.1
2026.02.21,00:00,23:59,Olympia,252,204,456,2.8,7.1,8.4,94,0.0
2026.02.22,00:00,23:59,Olympia,415,402,817,6.0,11.9,5.1,98,0.5
2026.02.23,00:00,23:59,Olympia,769,735,1504,7.3,11.7,12.0,98,0.9
2026.02.24,00:00,23:59,Olympia,501,470,971,6.0,8.3,11.3,95,0.0
2026.02.25,00:00,23:59,Olympia,1309,1264,2573,2.4,13.2,0.0,41,10.4
2026.02.26,00:00,23:59,Olympia,1326,1308,2634,2.7,17.7,0.0,71,10.3
2026.02.27,00:00,23:59,Olympia,1869,2029,3898,3.7,19.0,0.0,8,10.6
2026.02.28,00:00,23:59,Olympia,1511,1626,3137,2.1,16.0,0.5,50,9.3
2026.02.01,00:00,23:59,Hirsch,172,173,345,-0.5,5.6,0.0,81,3.3
2026.02.02,00:00,23:59,Hirsch,801,840,1641,-3.0,2.9,0.0,70,5.3
2026.02.03,00:00,23:59,Hirsch,769,805,1574,-3.0,6.1,0.1,71,5.2
2026.02.04,00:00,23:59,Hirsch,706,744,1450,-1.7,1.6,0.0,85,0.1
2026.02.05,00:00,23:59,Hirsch,726,746,1472,-0.9,2.3,0.0,64,6.3
2026.02.06,00:00,23:59,Hirsch,509,529,1038,-0.8,8.1,0.1,99,0.9
2026.02.07,00:00,23:59,Hirsch,280,281,561,5.3,9.4,0.0,99,1.2
2026.02.08,00:00,23:59,Hirsch,290,283,573,1.0,8.3,0.0,64,3.8
2026.02.09,00:00,23:59,Hirsch,722,747,1469,0.3,4.3,0.0,98,0.0
2026.02.10,00:00,23:59,Hirsch,785,823,1608,-1.1,7.8,5.3,94,4.1
2026.02.11,00:00,23:59,Hirsch,771,825,1596,3.0,11.1,1.2,91,2.7
2026.02.12,00:00,23:59,Hirsch,648,661,1309,4.6,10.8,6.9,95,2.0
2026.02.13,00:00,23:59,Hirsch,638,629,1267,4.6,10.1,0.0,96,2.6
2026.02.14,00:00,23:59,Hirsch,201,186,387,-0.3,7.0,7.0,96,0.1
2026.02.15,00:00,23:59,Hirsch,121,112,233,-1.5,0.5,5.4,94,0.1
2026.02.16,00:00,23:59,Hirsch,346,372,718,-1.3,8.7,3.3,90,3.2
2026.02.17,00:00,23:59,Hirsch,426,458,884,0.2,6.6,3.5,90,1.7
2026.02.18,00:00,23:59,Hirsch,449,409,858,-1.1,3.6,0.7,73,4.7
2026.02.19,00:00,23:59,Hirsch,294,390,684,-0.3,1.3,20.9,84,0.2
2026.02.20,00:00,23:59,Hirsch,146,137,283,-0.5,3.5,1.4,95,0.1
2026.02.21,00:00,23:59,Hirsch,98,76,174,2.8,7.1,8.4,94,0.0
2026.02.22,00:00,23:59,Hirsch,162,160,322,6.0,11.9,5.1,98,0.5
2026.02.23,00:00,23:59,Hirsch,625,665,1290,7.3,11.7,12.0,98,0.9
2026.02.24,00:00,23:59,Hirsch,406,408,814,6.0,8.3,11.3,95,0.0
2026.02.25,00:00,23:59,Hirsch,988,1052,2040,2.4,13.2,0.0,41,10.4
2026.02.26,00:00,23:59,Hirsch,1062,1056,2118,2.7,17.7,0.0,71,10.3
2026.02.27,00:00,23:59,Hirsch,1121,1138,2259,3.7,19.0,0.0,8,10.6
2026.02.28,00:00,23:59,Hirsch,690,643,1333,2.1,16.0,0.5,50,9.3
2026.02.01,00:00,23:59,Erhardt,608,641,1249,-0.5,5.6,0.0,81,3.3
2026.02.02,00:00,23:59,Erhardt,2632,2409,5041,-3.0,2.9,0.0,70,5.3
2026.02.03,00:00,23:59,Erhardt,1832,1472,3304,-3.0,6.1,0.1,71,5.2
2026.02.04,00:00,23:59,Erhardt,1629,1304,2933,-1.7,1.6,0.0,85,0.1
2026.02.05,00:00,23:59,Erhardt,1643,1380,3023,-0.9,2.3,0.0,64,6.3
2026.02.06,00:00,23:59,Erhardt,1291,1110,2401,-0.8,8.1,0.1,99,0.9
2026.02.07,00:00,23:59,Erhardt,897,957,1854,5.3,9.4,0.0,99,1.2
2026.02.08,00:00,23:59,Erhardt,945,993,1938,1.0,8.3,0.0,64,3.8
2026.02.09,00:00,23:59,Erhardt,1596,1235,2831,0.3,4.3,0.0,98,0.0
2026.02.10,00:00,23:59,Erhardt,1857,1465,3322,-1.1,7.8,5.3,94,4.1
2026.02.11,00:00,23:59,Erhardt,2690,2270,4960,3.0,11.1,1.2,91,2.7
2026.02.12,00:00,23:59,Erhardt,1481,1253,2734,4.6,10.8,6.9,95,2.0
2026.02.13,00:00,23:59,Erhardt,1449,1275,2724,4.6,10.1,0.0,96,2.6
2026.02.14,00:00,23:59,Erhardt,582,637,1219,-0.3,7.0,7.0,96,0.1
2026.02.15,00:00,23:59,Erhardt,378,394,772,-1.5,0.5,5.4,94,0.1
2026.02.16,00:00,23:59,Erhardt,841,860,1701,-1.3,8.7,3.3,90,3.2
2026.02.17,00:00,23:59,Erhardt,1044,859,1903,0.2,6.6,3.5,90,1.7
2026.02.18,00:00,23:59,Erhardt,1150,959,2109,-1.1,3.6,0.7,73,4.7
2026.02.19,00:00,23:59,Erhardt,849,651,1500,-0.3,1.3,20.9,84,0.2
2026.02.20,00:00,23:59,Erhardt,419,561,980,-0.5,3.5,1.4,95,0.1
2026.02.21,00:00,23:59,Erhardt,293,332,625,2.8,7.1,8.4,94,0.0
2026.02.22,00:00,23:59,Erhardt,466,511,977,6.0,11.9,5.1,98,0.5
2026.02.23,00:00,23:59,Erhardt,1367,1066,2433,7.3,11.7,12.0,98,0.9
2026.02.24,00:00,23:59,Erhardt,887,745,1632,6.0,8.3,11.3,95,0.0
2026.02.25,00:00,23:59,Erhardt,2202,1859,4061,2.4,13.2,0.0,41,10.4
2026.02.26,00:00,23:59,Erhardt,2455,2164,4619,2.7,17.7,0.0,71,10.3
2026.02.27,00:00,23:59,Erhardt,3875,4069,7944,3.7,19.0,0.0,8,10.6
2026.02.28,00:00,23:59,Erhardt,3077,3325,6402,2.1,16.0,0.5,50,9.3
