datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2026.05.01,00:00,23:59,Kreuther,342,425,767,2.5,20.6,0.0,4,14.2
2026.05.02,00:00,23:59,Kreuther,462,406,868,5.0,25.5,0.0,41,14.1
2026.05.03,00:00,23:59,Kreuther,439,416,855,9.5,27.5,0.0,91,11.5
2026.05.04,00:00,23:59,Kreuther,624,504,1128,14.1,24.1,0.0,96,8.0
2026.05.05,00:00,23:59,Kreuther,608,474,1082,11.2,24.3,2.1,70,8.0
2026.05.06,00:00,23:59,Kreuther,441,349,790,10.4,19.7,4.1,93,3.6
2026.05.07,00:00,23:59,Kreuther,482,375,857,8.0,16.2,0.0,80,4.6
2026.05.08,00:00,23:59,Kreuther,550,465,1015,6.0,20.4,0.0,36,12.3
2026.05.09,00:00,23:59,Kreuther,436,417,853,8.9,22.3,0.0,48,10.1
2026.05.10,00:00,23:59,Kreuther,380,429,809,8.3,23.6,11.0,66,10.6
2026.05.11,00:00,23:59,Kreuther,361,284,645,4.6,17.6,6.6,93,2.5
2026.05.12,00:00,23:59,Kreuther,388,300,688,3.7,10.2,0.0,86,6.0
2026.05.13,00:00,23:59,Kreuther,501,369,870,4.4,16.1,0.0,79,7.5
2026.05.14,00:00,23:59,Kreuther,175,173,348,6.6,13.4,0.1,95,2.3
2026.05.15,00:00,23:59,Kreuther,347,277,624,6.7,14.8,1.6,94,3.6
2026.05.16,00:00,23:59,Kreuther,158,179,337,5.3,13.1,0.9,91,2.7
2026.05.17,00:00,23:59,Kreuther,292,273,565,4.8,16.2,0.0,50,8.3
2026.05.18,00:00,23:59,Kreuther,516,408,924,4.3,19.6,8.1,61,10.2
2026.05.19,00:00,23:59,Kreuther,494,405,899,8.6,19.1,0.1,90,5.9
2026.05.20,00:00,23:59,Kreuther,396,307,703,11.7,19.5,3.9,88,2.6
2026.05.21,00:00,23:59,Kreuther,619,458,1077,11.9,21.3,0.0,89,8.6
2026.05.22,00:00,23:59,Kreuther,580,532,1112,8.8,25.0,0.0,26,14.9
2026.05.23,00:00,23:59,Kreuther,395,396,791,11.0,27.7,0.0,10,15.1
2026.05.24,00:00,23:59,Kreuther,356,337,693,14.4,29.8,0.0,29,13.8
2026.05.25,00:00,23:59,Kreuther,354,350,704,14.8,30.2,0.0,8,14.6
2026.05.26,00:00,23:59,Kreuther,550,460,1010,14.5,31.4,0.0,0,15.1
2026.05.27,00:00,23:59,Kreuther,579,446,1025,17.7,30.6,0.0,31,12.1
2026.05.28,00:00,23:59,Kreuther,543,460,1003,14.2,26.6,0.0,6,15.4
2026.05.29,00:00,23:59,Kreuther,498,394,892,10.8,28.1,0.0,6,15.2
2026.05.30,00:00,23:59,Kreuther,382,329,711,13.7,30.3,0.0,91,8.8
2026.05.31,00:00,23:59,Kreuther,208,155,363,16.1,30.9,3.6,86,7.3
2026.06.01,00:00,23:59,Kreuther,373,301,674,14.1,24.2,0.0,79,6.2
2026.05.01,00:00,23:59,Olympia,1447,1439,2886,2.5,20.6,0.0,4,14.2
2026.05.02,00:00,23:59,Olympia,1369,1383,2752,5.0,25.5,0.0,41,14.1
2026.05.03,00:00,23:59,Olympia,1584,1448,3032,9.5,27.5,0.0,91,11.5
2026.05.04,00:00,23:59,Olympia,1972,1961,3933,14.1,24.1,0.0,96,8.0
2026.05.05,00:00,23:59,Olympia,1867,1908,3775,11.2,24.3,2.1,70,8.0
2026.05.06,00:00,23:59,Olympia,1343,1446,2789,10.4,19.7,4.1,93,3.6
2026.05.07,00:00,23:59,Olympia,1466,1555,3021,8.0,16.2,0.0,80,4.6
2026.05.08,00:00,23:59,Olympia,1623,1754,3377,6.0,20.4,0.0,36,12.3
2026.05.09,00:00,23:59,Olympia,2079,2093,4172,8.9,22.3,0.0,48,10.1
2026.05.10,00:00,23:59,Olympia,1800,1792,3592,8.3,23.6,11.0,66,10.6
2026.05.11,00:00,23:59,Olympia,1153,1207,2360,4.6,17.6,6.6,93,2.5
2026.05.12,00:00,23:59,Olympia,1148,1220,2368,3.7,10.2,0.0,86,6.0
2026.05.13,00:00,23:59,Olympia,1491,1525,3016,4.4,16.1,0.0,79,7.5
2026.05.14,00:00,23:59,Olympia,948,826,1774,6.6,13.4,0.1,95,2.3
2026.05.15,00:00,23:59,Olympia,1010,1047,2057,6.7,14.8,1.6,94,3.6
2026.05.16,00:00,23:59,Olympia,857,806,1663,5.3,13.1,0.9,91,2.7
2026.05.17,00:00,23:59,Olympia,1468,1334,2802,4.8,16.2,0.0,50,8.3
2026.05.18,00:00,23:59,Olympia,1603,1619,3222,4.3,19.6,8.1,61,10.2
2026.05.19,00:00,23:59,Olympia,1821,1916,3737,8.6,19.1,0.1,90,5.9
2026.05.20,00:00,23:59,Olympia,1212,1304,2516,11.7,19.5,3.9,88,2.6
2026.05.21,00:00,23:59,Olympia,1910,2038,3948,11.9,21.3,0.0,89,8.6
2026.05.22,00:00,23:59,Olympia,1773,1846,3619,8.8,25.0,0.0,26,14.9
2026.05.23,00:00,23:59,Olympia,1631,1641,3272,11.0,27.7,0.0,10,15.1
2026.05.24,00:00,23:59,Olympia,1723,1621,3344,14.4,29.8,0.0,29,13.8
2026.05.25,00:00,23:59,Olympia,1789,1743,3532,14.8,30.2,0.0,8,14.6
2026.05.26,00:00,23:59,Olympia,1723,1810,3533,14.5,31.4,0.0,0,15.1
2026.05.27,00:00,23:59,Olympia,1984,2052,4036,17.7,30.6,0.0,31,12.1
2026.05.28,00:00,23:59,Olympia,2009,2064,4073,14.2,26.6,0.0,6,15.4
2026.05.29,00:00,23:59,Olympia,1680,1813,3493,10.8,28.1,0.0,6,15.2
2026.05.30,00:00,23:59,Olympia,1355,1383,2738,13.7,30.3,0.0,91,8.8
2026.05.31,00:00,23:59,Olympia,963,945,1908,16.1,30.9,3.6,86,7.3
2026.06.01,00:00,23:59,Olympia,1701,1747,3448,14.1,24.2,0.0,79,6.2
2026.05.01,00:00,23:59,Hirsch,728,668,1396,2.5,20.6,0.0,4,14.2
2026.05.02,00:00,23:59,Hirsch,685,756,1441,5.0,25.5,0.0,41,14.1
2026.05.03,00:00,23:59,Hirsch,765,695,1460,9.5,27.5,0.0,91,11.5
2026.05.04,00:00,23:59,Hirsch,1423,1465,2888,14.1,24.1,0.0,96,8.0
2026.05.05,00:00,23:59,Hirsch,1294,1397,2691,11.2,24.3,2.1,70,8.0
2026.05.06,00:00,23:59,Hirsch,1056,1171,2227,10.4,19.7,4.1,93,3.6
2026.05.07,00:00,23:59,Hirsch,1091,1072,2163,8.0,16.2,0.0,80,4.6
2026.05.08,00:00,23:59,Hirsch,1141,1241,2382,6.0,20.4,0.0,36,12.3
