datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2026.01.01,00:00,23:59,Arnulf,178,27,205,-5.2,4.1,0.0,73,7.4
2026.01.02,00:00,23:59,Arnulf,244,28,272,-1.1,1.8,2.1,90,0.0
2026.01.03,00:00,23:59,Arnulf,78,4,82,-3.3,0.4,0.0,58,8.0
2026.01.04,00:00,23:59,Arnulf,95,12,107,-8.5,-0.3,0.0,0,8.2
2026.01.05,00:00,23:59,Arnulf,190,15,205,-9.4,-3.3,0.0,60,0.0
2026.01.06,00:00,23:59,Arnulf,98,7,105,-11.0,-2.2,0.0,60,4.7
2026.01.07,00:00,23:59,Arnulf,431,32,463,-7.6,-1.3,0.1,54,5.7
2026.01.08,00:00,23:59,Arnulf,415,30,445,-5.5,1.9,8.1,91,0.0
2026.01.09,00:00,23:59,Arnulf,423,40,463,1.3,7.3,0.0,78,2.1
2026.01.10,00:00,23:59,Arnulf,242,14,256,-3.3,3.4,5.0,85,0.0
2026.01.11,00:00,23:59,Arnulf,41,5,46,-8.9,-1.8,0.0,63,4.4
2026.01.12,00:00,23:59,Arnulf,234,37,271,-7.5,7.0,7.0,89,0.0
2026.01.13,00:00,23:59,Arnulf,745,71,816,2.1,10.3,0.0,99,2.8
2026.01.14,00:00,23:59,Arnulf,858,80,938,2.7,12.3,0.0,94,5.3
2026.01.15,00:00,23:59,Arnulf,946,75,1021,2.3,13.3,0.0,73,5.4
2026.01.16,00:00,23:59,Arnulf,765,61,826,-1.9,9.9,0.0,83,7.8
2026.01.17,00:00,23:59,Arnulf,408,29,437,-2.5,-0.9,0.0,100,0.0
2026.01.18,00:00,23:59,Arnulf,348,39,387,-1.6,0.3,0.0,100,0.0
2026.01.19,00:00,23:59,Arnulf,822,72,894,-3.0,6.1,0.0,38,8.1
2026.01.20,00:00,23:59,Arnulf,883,70,953,-5.1,5.1,0.0,11,8.6
2026.01.21,00:00,23:59,Arnulf,870,65,935,-6.0,4.1,0.0,0,8.6
2026.01.22,00:00,23:59,Arnulf,722,53,775,-8.3,-4.2,0.0,84,1.9
2026.01.23,00:00,23:59,Arnulf,625,50,675,-7.3,-1.4,0.0,85,6.4
2026.01.24,00:00,23:59,Arnulf,383,28,411,-6.9,-0.2,0.0,99,0.6
2026.01.25,00:00,23:59,Arnulf,241,30,271,-4.4,1.3,8.1,99,0.0
2026.01.26,00:00,23:59,Arnulf,475,40,515,1.3,4.6,0.1,90,0.5
2026.01.27,00:00,23:59,Arnulf,822,60,882,-1.3,7.3,0.0,49,7.9
2026.01.28,00:00,23:59,Arnulf,866,71,937,0.4,5.1,7.0,98,3.2
2026.01.29,00:00,23:59,Arnulf,516,47,563,-0.1,2.9,2.0,98,0.0
2026.01.30,00:00,23:59,Arnulf,641,50,691,-1.8,5.0,0.0,38,8.4
2026.01.31,00:00,23:59,Arnulf,438,35,473,-1.4,5.4,0.0,55,7.1
2026.01.01,00:00,23:59,Kreuther,31,37,68,-5.2,4.1,0.0,73,7.4
2026.01.02,00:00,23:59,Kreuther,50,56,106,-1.1,1.8,2.1,90,0.0
2026.01.03,00:00,23:59,Kreuther,34,38,72,-3.3,0.4,0.0,58,8.0
2026.01.04,00:00,23:59,Kreuther,25,18,43,-8.5,-0.3,0.0,0,8.2
2026.01.05,00:00,23:59,Kreuther,43,44,87,-9.4,-3.3,0.0,60,0.0
2026.01.06,00:00,23:59,Kreuther,20,22,42,-11.0,-2.2,0.0,60,4.7
2026.01.07,00:00,23:59,Kreuther,121,100,221,-7.6,-1.3,0.1,54,5.7
2026.01.08,00:00,23:59,Kreuther,112,82,194,-5.5,1.9,8.1,91,0.0
2026.01.09,00:00,23:59,Kreuther,67,58,125,1.3,7.3,0.0,78,2.1
2026.01.10,00:00,23:59,Kreuther,49,48,97,-3.3,3.4,5.0,85,0.0
2026.01.11,00:00,23:59,Kreuther,12,17,29,-8.9,-1.8,0.0,63,4.4
2026.01.12,00:00,23:59,Kreuther,57,44,101,-7.5,7.0,7.0,89,0.0
2026.01.13,00:00,23:59,Kreuther,148,148,296,2.1,10.3,0.0,99,2.8
2026.01.14,00:00,23:59,Kreuther,195,170,365,2.7,12.3,0.0,94,5.3
2026.01.15,00:00,23:59,Kreuther,263,182,445,2.3,13.3,0.0,73,5.4
2026.01.16,00:00,23:59,Kreuther,201,152,353,-1.9,9.9,0.0,83,7.8
2026.01.17,00:00,23:59,Kreuther,80,70,150,-2.5,-0.9,0.0,100,0.0
2026.01.18,00:00,23:59,Kreuther,51,52,103,-1.6,0.3,0.0,100,0.0
2026.01.19,00:00,23:59,Kreuther,228,178,406,-3.0,6.1,0.0,38,8.1
2026.01.20,00:00,23:59,Kreuther,249,178,427,-5.1,5.1,0.0,11,8.6
2026.01.21,00:00,23:59,Kreuther,245,180,425,-6.0,4.1,0.0,0,8.6
2026.01.22,00:00,23:59,Kreuther,201,160,361,-8.3,-4.2,0.0,84,1.9
2026.01.23,00:00,23:59,Kreuther,183,132,315,-7.3,-1.4,0.0,85,6.4
2026.01.24,00:00,23:59,Kreuther,74,73,147,-6.9,-0.2,0.0,99,0.6
2026.01.25,00:00,23:59,Kreuther,55,58,113,-4.4,1.3,8.1,99,0.0
2026.01.26,00:00,23:59,Kreuther,139,101,240,1.3,4.6,0.1,90,0.5
2026.01.27,00:00,23:59,Kreuther,247,182,429,-1.3,7.3,0.0,49,7.9
2026.01.28,00:00,23:59,Kreuther,265,210,475,0.4,5.1,7.0,98,3.2
2026.01.29,00:00,23:59,Kreuther,85,82,167,-0.1,2.9,2.0,98,0.0
2026.01.30,00:00,23:59,Kreuther,157,139,296,-1.8,5.0,0.0,38,8.4
2026.01.31,00:00,23:59,Kreuther,101,90,191,-1.4,5.4,0.0,55,7.1
2026.01.01,00:00,23:59,Olympia,249,246,495,-5.2,4.1,0.0,73,7.4
