datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2026.04.01,00:00,23:59,Arnulf,900,72,972,1.2,8.7,0.0,89,3.2
2026.04.02,00:00,23:59,Arnulf,952,69,1021,0.7,8.8,0.0,85,1.2
2026.04.03,00:00,23:59,Arnulf,630,41,671,2.2,13.6,2.6,50,8.4
2026.04.04,00:00,23:59,Arnulf,466,28,494,7.3,13.1,0.6,89,0.3
2026.04.05,00:00,23:59,Arnulf,684,54,738,7.5,23.4,0.5,70,11.1
2026.04.06,00:00,23:59,Arnulf,608,50,658,7.3,16.5,0.0,73,10.1
2026.04.07,00:00,23:59,Arnulf,1322,87,1409,4.5,18.6,0.0,25,12.8
2026.04.08,00:00,23:59,Arnulf,1512,88,1600,4.1,17.1,0.0,14,13.0
2026.04.09,00:00,23:59,Arnulf,1298,94,1392,2.6,15.4,0.0,91,7.8
2026.04.10,00:00,23:59,Arnulf,668,46,714,7.7,12.0,1.9,98,0.0
2026.04.11,00:00,23:59,Arnulf,1077,54,1131,6.1,18.8,0.0,69,9.4
2026.04.12,00:00,23:59,Arnulf,451,38,489,8.3,11.7,0.7,96,0.0
2026.04.13,00:00,23:59,Arnulf,1039,73,1112,6.5,12.7,0.0,94,0.0
2026.04.14,00:00,23:59,Arnulf,1679,81,1760,7.5,10.2,0.3,98,0.0
2026.04.15,00:00,23:59,Arnulf,1192,88,1280,8.2,12.5,0.0,100,0.0
2026.04.16,00:00,23:59,Arnulf,1264,97,1361,7.9,18.1,0.0,79,6.9
2026.04.17,00:00,23:59,Arnulf,1285,76,1361,5.3,20.6,0.0,19,12.4
2026.04.18,00:00,23:59,Arnulf,1164,60,1224,7.8,21.8,0.0,73,9.8
2026.04.19,00:00,23:59,Arnulf,488,35,523,5.6,16.7,0.2,75,3.1
2026.04.20,00:00,23:59,Arnulf,1111,99,1210,3.6,14.7,0.0,34,10.9
2026.04.21,00:00,23:59,Arnulf,1100,89,1189,3.7,11.4,0.0,65,8.6
2026.04.22,00:00,23:59,Arnulf,1146,82,1228,1.3,14.1,0.0,0,13.6
2026.04.23,00:00,23:59,Arnulf,1271,73,1344,1.5,19.2,0.0,4,13.8
