datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2026.06.01,00:00,23:59,Kreuther,373,301,674,14.1,24.2,0.0,79,6.2
2026.06.02,00:00,23:59,Kreuther,430,361,791,13.4,26.5,2.0,93,7.6
2026.06.03,00:00,23:59,Kreuther,279,217,496,11.9,18.6,3.3,81,3.2
2026.06.04,00:00,23:59,Kreuther,297,259,556,11.7,25.3,10.3,79,9.6
2026.06.05,00:00,23:59,Kreuther,227,212,439,10.4,20.1,0.1,80,4.0
2026.06.06,00:00,23:59,Kreuther,356,343,699,9.4,24.0,0.0,69,12.0
2026.06.07,00:00,23:59,Kreuther,303,350,653,14.6,24.3,0.0,76,8.7
2026.06.08,00:00,23:59,Kreuther,633,532,1165,12.6,28.6,0.8,85,12.2
2026.06.09,00:00,23:59,Kreuther,300,224,524,13.4,18.7,18.8,99,0.0
2026.06.10,00:00,23:59,Kreuther,210,174,384,9.6,13.6,9.3,96,0.0
2026.06.11,00:00,23:59,Kreuther,430,341,771,8.5,17.6,4.9,85,5.2
2026.06.12,00:00,23:59,Kreuther,280,226,506,10.2,16.9,6.4,98,0.0
2026.06.13,00:00,23:59,Kreuther,406,385,791,15.6,26.3,0.0,50,10.9
2026.06.14,00:00,23:59,Kreuther,384,388,772,14.3,22.1,0.0,75,8.1
2026.06.15,00:00,23:59,Kreuther,638,500,1138,11.7,23.3,0.0,39,14.1
2026.06.16,00:00,23:59,Kreuther,679,533,1212,10.0,22.7,0.0,93,3.0
2026.06.17,00:00,23:59,Kreuther,706,575,1281,15.9,27.9,0.0,75,9.8
2026.06.18,00:00,23:59,Kreuther,757,613,1370,17.3,31.3,0.0,53,14.4
2026.06.19,00:00,23:59,Kreuther,681,458,1139,16.8,33.9,0.0,28,13.2
2026.06.20,00:00,23:59,Kreuther,389,329,718,20.4,33.6,0.0,40,13.9
2026.06.21,00:00,23:59,Kreuther,333,281,614,19.8,33.2,0.0,56,8.7
2026.06.22,00:00,23:59,Kreuther,711,541,1252,17.8,33.9,0.0,63,12.4
2026.06.23,00:00,23:59,Kreuther,745,623,1368,19.4,33.5,0.0,41,12.8
2026.06.24,00:00,23:59,Kreuther,694,561,1255,20.0,34.7,0.0,24,13.9
2026.06.25,00:00,23:59,Kreuther,711,547,1258,20.4,34.7,0.0,0,15.3
2026.06.26,00:00,23:59,Kreuther,564,491,1055,20.1,35.4,0.0,5,15.3
2026.06.27,00:00,23:59,Kreuther,371,297,668,19.1,37.6,0.0,23,15.3
2026.06.28,00:00,23:59,Kreuther,282,290,572,23.3,36.0,0.0,40,11.3
2026.06.29,00:00,23:59,Kreuther,531,413,944,18.1,31.2,33.9,75,9.2
2026.06.30,00:00,23:59,Kreuther,638,477,1115,18.5,29.0,0.0,85,7.8
2026.06.01,00:00,23:59,Olympia,1701,1747,3448,14.1,24.2,0.0,79,6.2
2026.06.02,00:00,23:59,Olympia,1580,1695,3275,13.4,26.5,2.0,93,7.6
2026.06.03,00:00,23:59,Olympia,1125,1121,2246,11.9,18.6,3.3,81,3.2
2026.06.04,00:00,23:59,Olympia,1374,1385,2759,11.7,25.3,10.3,79,9.6
2026.06.05,00:00,23:59,Olympia,923,941,1864,10.4,20.1,0.1,80,4.0
2026.06.06,00:00,23:59,Olympia,1454,1466,2920,9.4,24.0,0.0,69,12.0
2026.06.07,00:00,23:59,Olympia,1700,1593,3293,14.6,24.3,0.0,76,8.7
2026.06.08,00:00,23:59,Olympia,2258,2322,4580,12.6,28.6,0.8,85,12.2
2026.06.09,00:00,23:59,Olympia,1012,1036,2048,13.4,18.7,18.8,99,0.0
2026.06.10,00:00,23:59,Olympia,784,769,1553,9.6,13.6,9.3,96,0.0
2026.06.11,00:00,23:59,Olympia,1522,1490,3012,8.5,17.6,4.9,85,5.2
2026.06.12,00:00,23:59,Olympia,897,830,1727,10.2,16.9,6.4,98,0.0
