datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2025.12.01,00:00,23.59,Arnulf,921,76,997,3.5,4.8,0.0,99,0.0
2025.12.02,00:00,23.59,Arnulf,1025,73,1098,0.1,5.0,0.0,84,5.0
2025.12.03,00:00,23.59,Arnulf,921,87,1008,-0.3,1.4,0.0,100,0.0
2025.12.04,00:00,23.59,Arnulf,948,81,1029,-0.3,0.7,1.2,100,0.0
2025.12.05,00:00,23.59,Arnulf,609,69,678,0.3,4.3,1.7,100,0.0
2025.12.06,00:00,23.59,Arnulf,513,44,557,1.3,8.2,1.4,91,2.2
2025.12.07,00:00,23.59,Arnulf,333,34,367,6.8,9.4,17.6,98,0.0
2025.12.08,00:00,23.59,Arnulf,874,70,944,6.9,13.5,0.9,96,0.2
2025.12.09,00:00,23.59,Arnulf,1092,94,1186,3.3,15.5,0.0,69,7.7
2025.12.10,00:00,23.59,Arnulf,1095,105,1200,2.7,13.2,0.2,44,8.1
2025.12.11,00:00,23.59,Arnulf,1063,85,1148,6.6,8.2,0.0,100,0.0
2025.12.12,00:00,23.59,Arnulf,813,86,899,2.7,6.7,0.0,100,2.6
2025.12.13,00:00,23.59,Arnulf,583,63,646,0.5,4.0,0.0,100,0.0
2025.12.14,00:00,23.59,Arnulf,447,62,509,0.0,3.9,0.0,100,0.0
2025.12.15,00:00,23.59,Arnulf,897,74,971,-1.4,3.2,0.0,84,4.9
2025.12.16,00:00,23.59,Arnulf,952,93,1045,-1.5,0.6,0.0,100,0.0
2025.12.17,00:00,23.59,Arnulf,1083,86,1169,-0.7,8.5,0.0,88,0.0
2025.12.18,00:00,23.59,Arnulf,1029,77,1106,0.4,12.6,0.0,38,6.9
2025.12.19,00:00,23.59,Arnulf,901,84,985,-1.5,13.5,0.2,55,7.1
2025.12.20,00:00,23.59,Arnulf,554,40,594,-0.7,8.7,0.0,55,7.6
2025.12.21,00:00,23.59,Arnulf,346,38,384,-2.0,0.2,0.0,90,0.0
2025.12.22,00:00,23.59,Arnulf,592,55,647,-1.7,0.4,0.0,100,0.0
2025.12.23,00:00,23.59,Arnulf,496,50,546,-0.2,1.6,0.5,99,0.0
2025.12.24,00:00,23.59,Arnulf,116,18,134,-1.1,1.2,1.6,96,0.0
2025.12.25,00:00,23.59,Arnulf,70,11,81,-2.2,1.2,0.0,71,3.3
