datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2025.11.01,00:00,23.59,Arnulf,836,71,907,6.7,17.9,2.4,85,6.8
2025.11.02,00:00,23.59,Arnulf,274,26,300,8.1,14.6,17.2,95,0.0
2025.11.03,00:00,23.59,Arnulf,1060,104,1164,5.5,12.5,0.0,54,3.9
2025.11.04,00:00,23.59,Arnulf,1257,114,1371,2.1,14.8,0.0,54,9.6
2025.11.05,00:00,23.59,Arnulf,1339,99,1438,1.5,15.1,0.0,78,9.1
2025.11.06,00:00,23.59,Arnulf,1057,94,1151,-0.9,5.3,0.0,74,1.9
2025.11.07,00:00,23.59,Arnulf,927,81,1008,0.9,3.9,0.0,100,0.0
2025.11.08,00:00,23.59,Arnulf,635,48,683,1.0,6.1,0.8,100,0.0
2025.11.09,00:00,23.59,Arnulf,400,48,448,6.0,10.4,4.2,99,0.0
2025.11.10,00:00,23.59,Arnulf,1088,101,1189,3.9,11.9,0.0,73,3.5
2025.11.11,00:00,23.59,Arnulf,1261,98,1359,4.5,14.2,0.0,86,5.7
2025.11.12,00:00,23.59,Arnulf,1275,101,1376,1.8,14.2,0.0,78,8.0
2025.11.13,00:00,23.59,Arnulf,1340,88,1428,3.5,18.4,0.0,95,7.9
2025.11.14,00:00,23.59,Arnulf,1240,87,1327,4.0,19.7,0.0,68,4.5
2025.11.15,00:00,23.59,Arnulf,900,53,953,5.5,14.6,0.2,95,5.1
2025.11.16,00:00,23.59,Arnulf,673,46,719,6.5,14.2,0.3,94,3.1
2025.11.17,00:00,23.59,Arnulf,780,55,835,0.3,8.2,2.1,96,0.5
2025.11.18,00:00,23.59,Arnulf,1002,78,1080,-1.6,4.4,0.0,64,4.9
2025.11.19,00:00,23.59,Arnulf,995,85,1080,-1.4,4.2,0.2,66,5.7
2025.11.20,00:00,23.59,Arnulf,860,62,922,-0.3,3.9,0.0,96,0.1
2025.11.21,00:00,23.59,Arnulf,670,64,734,-1.9,0.7,0.4,94,0.0
2025.11.22,00:00,23.59,Arnulf,337,33,370,-7.1,-0.9,0.0,46,1.9
2025.11.23,00:00,23.59,Arnulf,311,34,345,-8.0,1.2,6.8,46,7.1
2025.11.24,00:00,23.59,Arnulf,459,46,505,0.1,5.0,22.1,96,0.0
2025.11.25,00:00,23.59,Arnulf,785,70,855,2.0,5.0,2.6,98,0.0
2025.11.26,00:00,23.59,Arnulf,776,73,849,0.3,2.2,2.2,98,0.0
2025.11.27,00:00,23.59,Arnulf,882,78,960,-2.1,3.6,0.0,79,1.7
2025.11.28,00:00,23.59,Arnulf,754,74,828,-3.4,5.4,0.2,51,8.3
2025.11.29,00:00,23.59,Arnulf,501,34,535,1.5,7.4,0.6,91,0.0
2025.11.30,00:00,23.59,Arnulf,408,40,448,-0.9,8.8,2.8,99,2.9
2025.11.01,00:00,23.59,Kreuther,207,233,440,6.7,17.9,2.4,85,6.8
2025.11.02,00:00,23.59,Kreuther,41,42,83,8.1,14.6,17.2,95,0.0
2025.11.03,00:00,23.59,Kreuther,317,215,532,5.5,12.5,0.0,54,3.9
2025.11.04,00:00,23.59,Kreuther,371,305,676,2.1,14.8,0.0,54,9.6
2025.11.05,00:00,23.59,Kreuther,340,306,646,1.5,15.1,0.0,78,9.1
2025.11.06,00:00,23.59,Kreuther,265,201,466,-0.9,5.3,0.0,74,1.9
2025.11.07,00:00,23.59,Kreuther,209,190,399,0.9,3.9,0.0,100,0.0
2025.11.08,00:00,23.59,Kreuther,167,128,295,1.0,6.1,0.8,100,0.0
2025.11.09,00:00,23.59,Kreuther,94,80,174,6.0,10.4,4.2,99,0.0
2025.11.10,00:00,23.59,Kreuther,366,283,649,3.9,11.9,0.0,73,3.5
2025.11.11,00:00,23.59,Kreuther,407,311,718,4.5,14.2,0.0,86,5.7
2025.11.12,00:00,23.59,Kreuther,452,324,776,1.8,14.2,0.0,78,8.0
2025.11.13,00:00,23.59,Kreuther,421,312,733,3.5,18.4,0.0,95,7.9
2025.11.14,00:00,23.59,Kreuther,386,314,700,4.0,19.7,0.0,68,4.5
2025.11.15,00:00,23.59,Kreuther,243,216,459,5.5,14.6,0.2,95,5.1
2025.11.16,00:00,23.59,Kreuther,197,201,398,6.5,14.2,0.3,94,3.1
2025.11.17,00:00,23.59,Kreuther,244,172,416,0.3,8.2,2.1,96,0.5
2025.11.18,00:00,23.59,Kreuther,361,276,637,-1.6,4.4,0.0,64,4.9
2025.11.19,00:00,23.59,Kreuther,290,221,511,-1.4,4.2,0.2,66,5.7
2025.11.20,00:00,23.59,Kreuther,271,217,488,-0.3,3.9,0.0,96,0.1
2025.11.21,00:00,23.59,Kreuther,201,152,353,-1.9,0.7,0.4,94,0.0
2025.11.22,00:00,23.59,Kreuther,88,82,170,-7.1,-0.9,0.0,46,1.9
2025.11.23,00:00,23.59,Kreuther,94,85,179,-8.0,1.2,6.8,46,7.1
2025.11.24,00:00,23.59,Kreuther,152,103,255,0.1,5.0,22.1,96,0.0
2025.11.25,00:00,23.59,Kreuther,236,180,416,2.0,5.0,2.6,98,0.0
2025.11.26,00:00,23.59,Kreuther,201,158,359,0.3,2.2,2.2,98,0.0
2025.11.27,00:00,23.59,Kreuther,283,208,491,-2.1,3.6,0.0,79,1.7
2025.11.28,00:00,23.59,Kreuther,228,186,414,-3.4,5.4,0.2,51,8.3
2025.11.29,00:00,23.59,Kreuther,99,90,189,1.5,7.4,0.6,91,0.0
2025.11.30,00:00,23.59,Kreuther,94,91,185,-0.9,8.8,2.8,99,2.9
2025.11.01,00:00,23.59,Olympia,854,823,1677,6.7,17.9,2.4,85,6.8
2025.11.02,00:00,23.59,Olympia,223,207,430,8.1,14.6,17.2,95,0.0
2025.11.03,00:00,23.59,Olympia,1083,1075,2158,5.5,12.5,0.0,54,3.9
2025.11.04,00:00,23.59,Olympia,1251,1305,2556,2.1,14.8,0.0,54,9.6
2025.11.05,00:00,23.59,Olympia,1186,1257,2443,1.5,15.1,0.0,78,9.1
2025.11.06,00:00,23.59,Olympia,1036,1084,2120,-0.9,5.3,0.0,74,1.9
2025.11.07,00:00,23.59,Olympia,735,738,1473,0.9,3.9,0.0,100,0.0
2025.11.08,00:00,23.59,Olympia,539,511,1050,1.0,6.1,0.8,100,0.0
2025.11.09,00:00,23.59,Olympia,451,434,885,6.0,10.4,4.2,99,0.0
2025.11.10,00:00,23.59,Olympia,1131,1154,2285,3.9,11.9,0.0,73,3.5
2025.11.11,00:00,23.59,Olympia,1278,1316,2594,4.5,14.2,0.0,86,5.7
2025.11.12,00:00,23.59,Olympia,1363,1375,2738,1.8,14.2,0.0,78,8.0
2025.11.13,00:00,23.59,Olympia,1378,1363,2741,3.5,18.4,0.0,95,7.9
2025.11.14,00:00,23.59,Olympia,1276,1338,2614,4.0,19.7,0.0,68,4.5
2025.11.15,00:00,23.59,Olympia,848,848,1696,5.5,14.6,0.2,95,5.1
2025.11.16,00:00,23.59,Olympia,808,791,1599,6.5,14.2,0.3,94,3.1
2025.11.17,00:00,23.59,Olympia,728,764,1492,0.3,8.2,2.1,96,0.5
