datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2025.08.01,00:00,23.59,Arnulf,1081,67,1148,13.9,20.1,9.0,83,3.7
2025.08.02,00:00,23.59,Arnulf,475,26,501,12.9,17.3,23.6,96,0.1
2025.08.03,00:00,23.59,Arnulf,580,45,625,12.2,18.5,10.3,95,2.6
2025.08.04,00:00,23.59,Arnulf,1174,85,1259,12.7,19.0,1.1,94,1.3
2025.08.05,00:00,23.59,Arnulf,1721,117,1838,13.7,26.9,9.7,68,7.5
2025.08.06,00:00,23.59,Arnulf,2012,101,2113,12.3,22.5,0.0,60,13.5
2025.08.07,00:00,23.59,Arnulf,2148,118,2266,10.6,28.0,0.0,25,13.8
2025.08.08,00:00,23.59,Arnulf,1912,111,2023,14.6,31.8,0.0,6,14.1
2025.08.09,00:00,23.59,Arnulf,1501,55,1556,16.0,33.0,0.0,3,13.9
2025.08.10,00:00,23.59,Arnulf,1393,64,1457,19.2,28.9,0.0,11,13.8
2025.08.11,00:00,23.59,Arnulf,1995,112,2107,15.6,27.8,0.0,0,13.7
2025.08.12,00:00,23.59,Arnulf,2096,120,2216,14.7,30.9,0.0,0,13.6
2025.08.13,00:00,23.59,Arnulf,1973,99,2072,19.2,34.2,0.0,0,13.4
2025.08.14,00:00,23.59,Arnulf,1839,109,1948,17.3,32.3,0.0,48,12.8
2025.08.15,00:00,23.59,Arnulf,1244,61,1305,18.3,33.3,6.2,39,12.0
2025.08.16,00:00,23.59,Arnulf,868,56,924,17.9,23.6,1.6,95,2.4
2025.08.17,00:00,23.59,Arnulf,1142,57,1199,15.5,23.9,0.0,69,6.1
2025.08.18,00:00,23.59,Arnulf,1748,108,1856,12.1,25.5,0.0,5,13.6
2025.08.19,00:00,23.59,Arnulf,1840,100,1940,12.4,27.2,0.0,0,13.7
2025.08.20,00:00,23.59,Arnulf,1315,70,1385,15.5,25.9,31.0,75,5.3
2025.08.21,00:00,23.59,Arnulf,798,64,862,15.9,18.3,5.0,98,0.0
2025.08.22,00:00,23.59,Arnulf,1301,90,1391,13.3,21.2,0.0,73,6.4
2025.08.23,00:00,23.59,Arnulf,1044,55,1099,12.2,18.0,0.0,96,2.6
2025.08.24,00:00,23.59,Arnulf,1094,46,1140,11.8,21.5,0.0,66,8.7
2025.08.25,00:00,23.59,Arnulf,1619,92,1711,10.0,23.8,0.0,48,12.9
2025.08.26,00:00,23.59,Arnulf,1901,109,2010,10.9,27.6,1.4,48,12.8
2025.08.27,00:00,23.59,Arnulf,1637,96,1733,17.2,28.8,0.0,88,6.9
2025.08.28,00:00,23.59,Arnulf,963,88,1051,14.9,21.4,20.3,90,1.8
2025.08.29,00:00,23.59,Arnulf,935,50,985,14.0,21.6,2.8,93,4.7
2025.08.30,00:00,23.59,Arnulf,899,49,948,13.8,20.5,0.3,79,4.2
2025.08.31,00:00,23.59,Arnulf,1187,69,1256,12.5,24.2,0.0,24,12.2
2025.08.01,00:00,23.59,Olympia,883,877,1760,13.9,20.1,9.0,83,3.7
2025.08.02,00:00,23.59,Olympia,319,314,633,12.9,17.3,23.6,96,0.1
2025.08.03,00:00,23.59,Olympia,775,753,1528,12.2,18.5,10.3,95,2.6
2025.08.04,00:00,23.59,Olympia,1078,1060,2138,12.7,19.0,1.1,94,1.3
2025.08.05,00:00,23.59,Olympia,1490,1433,2923,13.7,26.9,9.7,68,7.5
2025.08.06,00:00,23.59,Olympia,2097,2018,4115,12.3,22.5,0.0,60,13.5
2025.08.07,00:00,23.59,Olympia,2074,2021,4095,10.6,28.0,0.0,25,13.8
2025.08.08,00:00,23.59,Olympia,1821,1780,3601,14.6,31.8,0.0,6,14.1
2025.08.09,00:00,23.59,Olympia,1626,1600,3226,16.0,33.0,0.0,3,13.9
2025.08.10,00:00,23.59,Olympia,1703,1593,3296,19.2,28.9,0.0,11,13.8
2025.08.11,00:00,23.59,Olympia,1927,1874,3801,15.6,27.8,0.0,0,13.7
2025.08.12,00:00,23.59,Olympia,2222,2069,4291,14.7,30.9,0.0,0,13.6
2025.08.13,00:00,23.59,Olympia,2947,2099,5046,19.2,34.2,0.0,0,13.4
2025.08.14,00:00,23.59,Olympia,1587,1691,3278,17.3,32.3,0.0,48,12.8
2025.08.15,00:00,23.59,Olympia,1597,1388,2985,18.3,33.3,6.2,39,12.0
2025.08.16,00:00,23.59,Olympia,992,845,1837,17.9,23.6,1.6,95,2.4
2025.08.17,00:00,23.59,Olympia,1647,1585,3232,15.5,23.9,0.0,69,6.1
2025.08.18,00:00,23.59,Olympia,1587,1575,3162,12.1,25.5,0.0,5,13.6
2025.08.19,00:00,23.59,Olympia,2007,2001,4008,12.4,27.2,0.0,0,13.7
2025.08.20,00:00,23.59,Olympia,1040,1037,2077,15.5,25.9,31.0,75,5.3
2025.08.21,00:00,23.59,Olympia,540,530,1070,15.9,18.3,5.0,98,0.0
2025.08.22,00:00,23.59,Olympia,1270,1295,2565,13.3,21.2,0.0,73,6.4
