datum,uhrzeit_start,uhrzeit_ende,zaehlstelle,richtung_1,richtung_2,gesamt,min-temp,max-temp,niederschlag,bewoelkung,sonnenstunden
2025.06.01,00:00,23.59,Arnulf,1176,120,1296,15.7,28.6,0.1,91,5.8
2025.06.02,00:00,23.59,Arnulf,1261,67,1328,15.0,22.0,10.5,99,1.4
2025.06.03,00:00,23.59,Arnulf,1393,85,1478,14.9,24.9,0.2,91,6.6
2025.06.04,00:00,23.59,Arnulf,1677,100,1777,14.7,27.9,5.8,85,9.1
2025.06.05,00:00,23.59,Arnulf,1086,83,1169,14.8,19.0,4.0,98,0.3
2025.06.06,00:00,23.59,Arnulf,1552,90,1642,15.3,26.8,7.6,84,6.8
2025.06.07,00:00,23.59,Arnulf,523,42,565,13.3,19.0,6.6,98,0.6
2025.06.08,00:00,23.59,Arnulf,701,60,761,11.6,20.3,0.0,81,4.1
2025.06.09,00:00,23.59,Arnulf,1256,62,1318,10.0,20.9,0.0,23,12.7
2025.06.10,00:00,23.59,Arnulf,1909,118,2027,9.4,25.6,0.0,39,11.8
2025.06.11,00:00,23.59,Arnulf,2069,81,2150,13.7,24.1,0.0,23,12.5
2025.06.12,00:00,23.59,Arnulf,2166,101,2267,11.3,26.2,0.0,9,15.1
2025.06.13,00:00,23.59,Arnulf,1789,89,1878,13.6,29.1,0.0,31,15.2
2025.06.14,00:00,23.59,Arnulf,1415,51,1466,13.7,31.9,0.0,28,13.9
2025.06.15,00:00,23.59,Arnulf,1001,67,1068,17.0,31.4,5.3,71,10.8
2025.06.16,00:00,23.59,Arnulf,1413,80,1493,14.0,21.4,0.1,94,4.9
2025.06.17,00:00,23.59,Arnulf,1897,83,1980,13.5,24.6,0.0,56,14.7
2025.06.18,00:00,23.59,Arnulf,1988,86,2074,11.9,28.2,0.0,78,14.7
2025.06.19,00:00,23.59,Arnulf,1425,83,1508,14.7,28.9,0.0,24,15.2
2025.06.20,00:00,23.59,Arnulf,1688,70,1758,16.3,26.8,0.0,13,14.5
2025.06.21,00:00,23.59,Arnulf,1412,54,1466,12.7,28.6,0.0,3,15.4
2025.06.22,00:00,23.59,Arnulf,1232,59,1291,11.9,32.1,0.0,11,15.5
2025.06.23,00:00,23.59,Arnulf,1612,98,1710,19.8,31.8,0.9,78,7.7
2025.06.24,00:00,23.59,Arnulf,2267,91,2358,17.4,29.7,0.0,21,14.4
2025.06.25,00:00,23.59,Arnulf,2335,102,2437,17.1,33.4,0.0,0,15.2
2025.06.26,00:00,23.59,Arnulf,1518,90,1608,17.1,32.3,22.1,78,5.1
2025.06.27,00:00,23.59,Arnulf,1683,94,1777,17.4,26.0,2.4,81,3.6
2025.06.28,00:00,23.59,Arnulf,1649,66,1715,17.5,29.4,0.0,40,11.6
2025.06.29,00:00,23.59,Arnulf,1462,73,1535,18.1,31.9,0.0,3,15.3
2025.06.30,00:00,23.59,Arnulf,2211,105,2316,18.9,32.1,0.0,51,15.2
2025.06.01,00:00,23.59,Olympia,1747,1210,2957,15.7,28.6,0.1,91,5.8
2025.06.02,00:00,23.59,Olympia,1129,982,2111,15.0,22.0,10.5,99,1.4
2025.06.03,00:00,23.59,Olympia,1539,1423,2962,14.9,24.9,0.2,91,6.6
2025.06.04,00:00,23.59,Olympia,1623,1673,3296,14.7,27.9,5.8,85,9.1
2025.06.05,00:00,23.59,Olympia,1046,1030,2076,14.8,19.0,4.0,98,0.3
2025.06.06,00:00,23.59,Olympia,1543,1559,3102,15.3,26.8,7.6,84,6.8
2025.06.07,00:00,23.59,Olympia,554,515,1069,13.3,19.0,6.6,98,0.6
2025.06.08,00:00,23.59,Olympia,973,925,1898,11.6,20.3,0.0,81,4.1
2025.06.09,00:00,23.59,Olympia,2069,1989,4058,10.0,20.9,0.0,23,12.7
2025.06.10,00:00,23.59,Olympia,1670,1665,3335,9.4,25.6,0.0,39,11.8
2025.06.11,00:00,23.59,Olympia,2153,2135,4288,13.7,24.1,0.0,23,12.5
2025.06.12,00:00,23.59,Olympia,1868,1934,3802,11.3,26.2,0.0,9,15.1
2025.06.13,00:00,23.59,Olympia,1624,1697,3321,13.6,29.1,0.0,31,15.2
2025.06.14,00:00,23.59,Olympia,1256,1284,2540,13.7,31.9,0.0,28,13.9
2025.06.15,00:00,23.59,Olympia,1267,1198,2465,17.0,31.4,5.3,71,10.8
2025.06.16,00:00,23.59,Olympia,1524,1523,3047,14.0,21.4,0.1,94,4.9
2025.06.17,00:00,23.59,Olympia,2048,2100,4148,13.5,24.6,0.0,56,14.7
2025.06.18,00:00,23.59,Olympia,2003,2167,4170,11.9,28.2,0.0,78,14.7
2025.06.19,00:00,23.59,Olympia,2014,1959,3973,14.7,28.9,0.0,24,15.2
2025.06.20,00:00,23.59,Olympia,1880,1812,3692,16.3,26.8,0.0,13,14.5
2025.06.21,00:00,23.59,Olympia,1970,1871,3841,12.7,28.6,0.0,3,15.4
2025.06.22,00:00,23.59,Olympia,1619,1587,3206,11.9,32.1,0.0,11,15.5
2025.06.23,00:00,23.59,Olympia,1757,1709,3466,19.8,31.8,0.9,78,7.7
2025.06.24,00:00,23.59,Olympia,2519,2549,5068,17.4,29.7,0.0,21,14.4
2025.06.25,00:00,23.59,Olympia,2501,2516,5017,17.1,33.4,0.0,0,15.2
2025.06.26,00:00,23.59,Olympia,1528,1429,2957,17.1,32.3,22.1,78,5.1
2025.06.27,00:00,23.59,Olympia,1832,1723,3555,17.4,26.0,2.4,81,3.6
2025.06.28,00:00,23.59,Olympia,2591,2288,4879,17.5,29.4,0.0,40,11.6
2025.06.29,00:00,23.59,Olympia,2192,2091,4283,18.1,31.9,0.0,3,15.3
2025.06.30,00:00,23.59,Olympia,2439,2382,4821,18.9,32.1,0.0,51,15.2
2025.06.01,00:00,23.59,Hirsch,564,555,1119,15.7,28.6,0.1,91,5.8
2025.06.02,00:00,23.59,Hirsch,828,894,1722,15.0,22.0,10.5,99,1.4
2025.06.03,00:00,23.59,Hirsch,1028,1013,2041,14.9,24.9,0.2,91,6.6
2025.06.04,00:00,23.59,Hirsch,1184,1221,2405,14.7,27.9,5.8,85,9.1
2025.06.05,00:00,23.59,Hirsch,701,698,1399,14.8,19.0,4.0,98,0.3
2025.06.06,00:00,23.59,Hirsch,939,996,1935,15.3,26.8,7.6,84,6.8
2025.06.07,00:00,23.59,Hirsch,195,200,395,13.3,19.0,6.6,98,0.6
2025.06.08,00:00,23.59,Hirsch,254,273,527,11.6,20.3,0.0,81,4.1
2025.06.09,00:00,23.59,Hirsch,791,758,1549,10.0,20.9,0.0,23,12.7
2025.06.10,00:00,23.59,Hirsch,1216,1252,2468,9.4,25.6,0.0,39,11.8
2025.06.11,00:00,23.59,Hirsch,1397,1408,2805,13.7,24.1,0.0,23,12.5
2025.06.12,00:00,23.59,Hirsch,1311,1335,2646,11.3,26.2,0.0,9,15.1
2025.06.13,00:00,23.59,Hirsch,1031,1056,2087,13.6,29.1,0.0,31,15.2
2025.06.14,00:00,23.59,Hirsch,632,633,1265,13.7,31.9,0.0,28,13.9
2025.06.15,00:00,23.59,Hirsch,502,452,954,17.0,31.4,5.3,71,10.8
2025.06.16,00:00,23.59,Hirsch,920,914,1834,14.0,21.4,0.1,94,4.9
2025.06.17,00:00,23.59,Hirsch,1399,1444,2843,13.5,24.6,0.0,56,14.7
2025.06.18,00:00,23.59,Hirsch,1207,1247,2454,11.9,28.2,0.0,78,14.7
2025.06.19,00:00,23.59,Hirsch,630,606,1236,14.7,28.9,0.0,24,15.2
2025.06.20,00:00,23.59,Hirsch,839,858,1697,16.3,26.8,0.0,13,14.5
2025.06.21,00:00,23.59,Hirsch,561,564,1125,12.7,28.6,0.0,3,15.4
2025.06.22,00:00,23.59,Hirsch,645,571,1216,11.9,32.1,0.0,11,15.5
2025.06.23,00:00,23.59,Hirsch,1127,1193,2320,19.8,31.8,0.9,78,7.7
2025.06.24,00:00,23.59,Hirsch,1695,1764,3459,17.4,29.7,0.0,21,14.4
2025.06.25,00:00,23.59,Hirsch,1567,1553,3120,17.1,33.4,0.0,0,15.2
2025.06.26,00:00,23.59,Hirsch,1017,1094,2111,17.1,32.3,22.1,78,5.1
2025.06.27,00:00,23.59,Hirsch,998,1006,2004,17.4,26.0,2.4,81,3.6
2025.06.28,00:00,23.59,Hirsch,788,822,1610,17.5,29.4,0.0,40,11.6
2025.06.29,00:00,23.59,Hirsch,690,584,1274,18.1,31.9,0.0,3,15.3
2025.06.30,00:00,23.59,Hirsch,1564,1621,3185,18.9,32.1,0.0,51,15.2
2025.06.01,00:00,23.59,Erhardt,2126,2257,4383,15.7,28.6,0.1,91,5.8
2025.06.02,00:00,23.59,Erhardt,2028,1416,3444,15.0,22.0,10.5,99,1.4
2025.06.03,00:00,23.59,Erhardt,2795,2004,4799,14.9,24.9,0.2,91,6.6
2025.06.04,00:00,23.59,Erhardt,3023,2334,5357,14.7,27.9,5.8,85,9.1
2025.06.05,00:00,23.59,Erhardt,1877,1409,3286,14.8,19.0,4.0,98,0.3
2025.06.06,00:00,23.59,Erhardt,2835,2289,5124,15.3,26.8,7.6,84,6.8
2025.06.07,00:00,23.59,Erhardt,574,663,1237,13.3,19.0,6.6,98,0.6
2025.06.08,00:00,23.59,Erhardt,1005,1054,2059,11.6,20.3,0.0,81,4.1
2025.06.09,00:00,23.59,Erhardt,2785,2922,5707,10.0,20.9,0.0,23,12.7
2025.06.10,00:00,23.59,Erhardt,3248,2604,5852,9.4,25.6,0.0,39,11.8
2025.06.11,00:00,23.59,Erhardt,3641,2885,6526,13.7,24.1,0.0,23,12.5
2025.06.12,00:00,23.59,Erhardt,4018,3222,7240,11.3,26.2,0.0,9,15.1
2025.06.13,00:00,23.59,Erhardt,3484,3029,6513,13.6,29.1,0.0,31,15.2
2025.06.14,00:00,23.59,Erhardt,3273,3177,6450,13.7,31.9,0.0,28,13.9
2025.06.15,00:00,23.59,Erhardt,2325,2229,4554,17.0,31.4,5.3,71,10.8
2025.06.16,00:00,23.59,Erhardt,2348,1768,4116,14.0,21.4,0.1,94,4.9
2025.06.17,00:00,23.59,Erhardt,3746,2983,6729,13.5,24.6,0.0,56,14.7
2025.06.18,00:00,23.59,Erhardt,3793,2819,6612,11.9,28.2,0.0,78,14.7
2025.06.19,00:00,23.59,Erhardt,3373,3336,6709,14.7,28.9,0.0,24,15.2
2025.06.20,00:00,23.59,Erhardt,2944,2713,5657,16.3,26.8,0.0,13,14.5
2025.06.21,00:00,23.59,Erhardt,2929,2839,5768,12.7,28.6,0.0,3,15.4
2025.06.22,00:00,23.59,Erhardt,3080,2946,6026,11.9,32.1,0.0,11,15.5
2025.06.23,00:00,23.59,Erhardt,2888,2100,4988,19.8,31.8,0.9,78,7.7
2025.06.24,00:00,23.59,Erhardt,4684,3271,7955,17.4,29.7,0.0,21,14.4
2025.06.25,00:00,23.59,Erhardt,4720,3808,8528,17.1,33.4,0.0,0,15.2
2025.06.26,00:00,23.59,Erhardt,2677,2056,4733,17.1,32.3,22.1,78,5.1
2025.06.27,00:00,23.59,Erhardt,2942,2242,5184,17.4,26.0,2.4,81,3.6
2025.06.28,00:00,23.59,Erhardt,3723,3296,7019,17.5,29.4,0.0,40,11.6
2025.06.29,00:00,23.59,Erhardt,3602,3599,7201,18.1,31.9,0.0,3,15.3
2025.06.30,00:00,23.59,Erhardt,4394,3348,7742,18.9,32.1,0.0,51,15.2
